What is your bid when your value is 10?,What is your bid when your value is 20?,What is your bid when your value is 30?,What is your bid when your value is 40?,What is your bid when your value is 50?,What is your bid when your value is 60?,What is your bid when your value is 70?,What is your bid when your value is 80?,What is your bid when your value is 90?,What is your bid when your value is 100?
9,15,20,25,30,30,35,40,45,50
5,10,15,20,25,30,35,40,45,50
5,10,15,20,25,30,35,40,45,50
0,10,15,20,25,30,35,40,45,50
0.0001,10.0001,20.0001,30.0001,40.0001,50.0001,60.0001,70.0001,80.0001,90.0001
10,15,25,35,45,55,60,70,80,90
9.999,19,26,35,40,30,20,10,5,1
0,0,20,20,25,30,20,30,0,0
1,11,21,31,41,51,61,71,81,91
5,10,15,20,25,30,35,40,45,50
10,11,21,31,41,51,61,71,81,91
9,18,27,37,46,56,65,75,84,93
9,19,29,39,49,59,69,79,89,99
9,10,20,30,40,50,60,70,80,90
10,11,11,21,25,31,36,41,46,51
3,8,10,20,25,35,40,50,60,75
5,10,15,20,25,30,35,40,45,50
9,19,29,39,49,59,69,79,89,99
5,10,15,20,25,30,35,40,45,50
10,20,30,40,50,60,70,80,90,100
9,15,23,30,36,42,49,61,70,80
6,11,16,21,26,31,36,41,46,51